title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Reflecting on Meta’s $8 Billion Investment in Privacy,https://about.fb.com/news/2025/01/meta-8-billion-investment-privacy,25.1,0,17,1,10,11,7,16,31,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
Meta and Constellation Partner on Clean Energy Project,https://about.fb.com/news/2025/06/meta-constellation-partner-clean-energy-project,24.5,1,11,1,4,7,0,4,12,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
"Meta’s New Data Center in Lebanon, Indiana Marks a Milestone AI Investment",https://about.fb.com/news/2026/02/metas-new-data-center-lebanon-indiana-marks-milestone-ai-investment,22.9,0,19,0,7,26,5,3,15,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
How AI Is Ushering in the Next Era of Risk Review at Meta,https://about.fb.com/news/2026/03/how-ai-is-ushering-in-the-next-era-of-risk-review-at-meta,22.4,0,13,0,10,3,5,2,35,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
Meta at UNGA 2024,https://about.fb.com/news/2024/09/meta-at-unga-2024,22.1,0,22,0,5,0,3,8,15,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
Instagram Program Partners With Schools to Address Bullying | Meta,https://about.fb.com/news/2025/03/instagram-partnership-schools-teachers-address-bullying,22.0,0,11,1,12,0,9,3,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
Meta Grants Are Fueling Innovation in Local Data Center Communities,https://about.fb.com/news/2026/03/metas-data-center-grants-fueling-innovation-in-local-communities,21.6,0,32,3,9,26,9,2,11,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
"Hundreds of Millions of Teens Are Now in Teen Accounts, Plus We’re Adding More Support for Schools and Teachers",https://about.fb.com/news/2025/09/millions-teens-now-teen-accounts-plus-more-support-schools,21.6,0,13,0,6,7,9,6,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
How Meta's Data Centers Drive Economic Growth Across the US,https://about.fb.com/news/2025/11/meta-data-centers-drive-economic-growth-across-us,20.9,0,10,1,8,14,2,0,13,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
Expanding Our Data Center Community Action Grants Program,https://about.fb.com/news/2025/11/expanding-meta-data-center-community-action-grants-program,20.9,0,14,0,12,31,3,1,9,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Meta_Platforms\pages.csv
