title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Amazon increases investment in Spain to €33.7 billion to expand data center infrastructure and drive AI innovation across Europe,https://www.aboutamazon.com/news/company-news/amazon-spain-investment,34.1,4,33,5,21,57,10,5,40,6,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon is helping power America's AI future,https://www.aboutamazon.com/news/aws/amazon-aws-trump-summit-ai-energy-future,29.7,3,20,3,5,27,7,5,42,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon News | About Amazon,https://www.aboutamazon.com/amazon-news-today,29.2,3,20,2,5,21,13,7,28,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon Leo set to accelerate satellite production and launch cadence,https://www.aboutamazon.com/news/amazon-leo/amazon-leo-plans-double-launch-rate-20-missions,27.7,17,8,0,4,13,9,35,19,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Workplace News,https://www.aboutamazon.com/amazons-workplace-culture,26.9,1,12,2,9,12,75,6,13,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon investing AU$20 billion to expand data center infrastructure in Australia and strengthen the nation’s AI future,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia,26.9,2,22,1,17,36,5,9,44,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon continues to be one of the world’s leading corporate purchasers of carbon-free energy,https://www.aboutamazon.com/news/sustainability/amazon-leading-corporate-carbon-free-energy-purchaser,26.4,4,15,1,5,32,0,3,14,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon invests to bring AI education to 500,000 students nationwide",https://www.aboutamazon.com/news/community/amazon-future-engineer-ai-education-students,26.1,0,21,2,10,19,8,5,14,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon to invest $12 billion in first data center campuses in Louisiana,https://www.aboutamazon.com/news/company-news/amazon-data-center-louisiana-new-jobs,25.8,0,32,1,12,48,9,4,19,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Latest news about Sustainability at Amazon,https://www.aboutamazon.com/sustainability-company-reports-news-updates,25.7,2,33,0,3,12,6,4,22,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon delivers more than 60 million meals to families facing food insecurity,https://www.aboutamazon.com/news/community/amazon-expands-food-access-delivery,25.4,1,18,0,5,10,7,6,15,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon in the U.S.: Jobs, carbon-free energy, affordable housing and American economy",https://www.aboutamazon.com/impact/amazon-united-states,24.4,2,25,0,10,43,35,2,14,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Latest news about Amazon and AWS,https://www.aboutamazon.com/amazon-aws-news,24.2,1,14,2,6,3,4,5,26,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon named among the top 3 most admired companies by ‘Fortune’ magazine for the 10th consecutive year,https://www.aboutamazon.com/news/workplace/fortune-magazine-admired-companies-list-amazon,23.4,0,19,0,6,19,42,23,19,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon pledges support to forests and communities in the Brazilian Amazon,https://www.aboutamazon.com/news/sustainability/amazon-pledges-support-to-forests-and-communities-in-the-brazilian-amazon,23.3,3,17,0,7,11,2,0,5,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
"Amazon launches a carbon credit service, enabling access to high-quality credits for qualified companies",https://www.aboutamazon.com/news/sustainability/amazon-carbon-credit-service-sustainability,23.3,10,17,0,1,7,1,4,5,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon data centers aren’t raising your electricity bills—Here’s the data,https://www.aboutamazon.com/news/sustainability/data-centers-electricity-bills-grid-power-amazon,22.8,3,16,1,2,26,2,1,3,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
$2.5 trillion in sales and counting: Celebrating 25 years of Amazon’s partnership with independent sellers,https://www.aboutamazon.com/news/small-business/amazon-independent-sellers-growth-sales,22.7,0,9,2,5,5,2,9,10,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
A guide to Amazon Literary Partnership grants—what to know and how to apply,https://www.aboutamazon.com/news/books-and-authors/apply-now-for-this-years-amazon-literary-partnership-grants,22.5,6,8,0,3,14,3,0,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
How Amazon is helping to build one of the first modular nuclear reactor facilities in the United States,https://www.aboutamazon.com/news/sustainability/amazon-smr-nuclear-energy,22.4,2,19,0,3,16,4,3,8,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon Future Ready,https://www.aboutamazon.com/impact/amazon-future-ready,22.4,0,21,0,25,29,63,4,18,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Our impact in the HQ2 region,https://www.aboutamazon.com/impact/community/hq2,22.3,1,33,1,2,25,11,2,7,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon teams up with leading Indian university to turn farm waste into recyclable packaging,https://www.aboutamazon.com/news/sustainability/amazon-iit-roorkee-farm-waste-recyclable-packaging,21.8,1,17,1,2,11,4,3,14,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon supports STEM education,https://www.aboutamazon.com/impact/community/stem-education,21.6,0,15,0,8,9,12,0,2,2,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Community news from Amazon,https://www.aboutamazon.com/amazon-relief-fund-news-community,21.6,0,34,0,11,41,16,0,10,3,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's Impact | About Amazon,https://www.aboutamazon.com/impact,21.3,1,23,0,3,25,13,3,9,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's impact in Seattle and the Puget Sound region,https://www.aboutamazon.com/impact/community/hq1,21.2,0,18,0,4,12,24,2,0,1,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
Amazon's Policy Positions,https://www.aboutamazon.com/about-us/our-positions,21.0,0,22,0,4,8,14,4,15,4,C:\Users\Kelno\OneDrive\Documents\爬虫\output\selected_10_companies\Amazon\pages.csv
