company_name,ticker,record_count,input_file_count,purpose_articulation_score,operational_embedding_score,execution_consistency_score,aggregate_score,aggregate_label,top_evidence_title_1,top_evidence_title_2,purpose_example_1
Amazon,AMZN,107,10,4.0,5.0,5.0,4.6,strongly purpose-driven,An Amazon interviewer dives deep into how she uses the Leadership Principles,Amazon data centers aren’t raising your electricity bills—Here’s the data,"8 unique benefits and perks available to Amazon employees From exclusive discounts to cancer support, here are some unique benefits you may not know Amazon offers its employees."
Chevron,CVX,106,10,4.4,4.8,4.6,4.58,strongly purpose-driven,Emissions Solutions Newsroom — Chevron,Marillyn A. Hewson — Chevron Leadership — Chevron,Environmental Protection Agency’s ENERGY STAR Program and Green Power Partnerships.
Johnson & Johnson,JNJ,109,12,4.6,4.6,4.2,4.48,strongly purpose-driven,Our company | Johnson & Johnson,Kristen Mulholland,"Read more Our Credo and our purpose September 27, 2023 8 decades of Our Credo The values that guide our decision-making are spelled out in Our Credo."
Oracle,ORCL,109,12,3.8,4.4,4.4,4.16,strongly purpose-driven,Leadership Message - Environmental and Social Impact | Oracle,Philanthropy – Environmental and Social Impact | Oracle,"As the pace of change accelerates, our mission remains steadfast: to leverage our innovation, technology, and people to help create a better future for our communities and our planet."
Cisco,CSCO,106,9,3.8,4.4,4.2,4.1,strongly purpose-driven,Cisco Purpose - Power an Inclusive Future for All - Cisco,Cisco Nexus Dashboard – Cloud Network Dashboard - Cisco,"FY25 Purpose Report Our Purpose is core to who we are and what we do Our Purpose story comes to life through four interconnected pillars, CORE: Community resilience We empower communities to adapt and thrive through digital readiness, crisis response, and strategic investments."
Nvidia,NVDA,106,9,2.4,3.8,4.4,3.42,moderately purpose-driven,AI Innovations Shaping Tomorrow | NVIDIA AI for Good,Diversity and Inclusion Support and Resources | NVIDIA,"AI Innovations Shaping Tomorrow | NVIDIA AI for Good Explore the latest AI breakthroughs from NVIDIA and partners transforming healthcare, sustainability, and global safety through cutting-edge technology."
Apple,AAPL,108,12,3.0,3.4,3.2,3.18,moderately purpose-driven,Wanda Austin to join Apple’s board of directors - Apple,Apple Store Roles and Opportunities - Careers at Apple,"“She’s an extraordinary leader, and her invaluable experience and expertise will support our mission of leaving the world better than we found it.” “Wanda has long been a leader in unleashing the potential of cutting-edge technology,” said Arthur Levinson, the chair of Apple’s board of directors."
Meta,META,102,4,1.8,3.6,4.6,3.18,moderately purpose-driven,Meta and Constellation Partner on Clean Energy Project,"Meta’s 30th Data Center: Delivering AI, Creating Community Benefits, and Supporting Wetlands Restoration","This partnership not only ensures the facility’s operation for two decades but also preserves over 1,100 local jobs and contributes $13.5 million annually in tax revenue without relying on the state’s Zero Emission Credit program, maintaining operations without additional ratepayer support."
Netflix,NFLX,16,7,2.4,3.2,3.2,2.88,emerging or mixed,Work Life Philosophy - Careers at Netflix,Inclusion at Netflix - Careers at Netflix,"For Netflix, a big part of our focus on excellence is hiring people who are great at what they do and creating an environment where talent can thrive."
Walmart,WMT,104,7,2.0,1.8,1.6,1.82,weakly evidenced,Purpose,Walmart Foundation,"Purpose We aim to build a better world — helping people live better and renew the planet while building thriving, resilient communities."
